count,hate_speech_count,offensive_language_count,neither_count,class,tweet,clean_text
3,1,1,0,1,You are stupid,you are stupid
3,1,1,0,1,Go and die,go and die
3,1,1,0,1,I hate you,i hate you
3,1,1,0,1,You are ugly,you are ugly
3,1,1,0,1,Shut up idiot,shut up idiot
3,0,0,1,2,Nice work bro,nice work bro
3,0,0,1,2,Good morning everyone,good morning everyone
3,0,0,1,2,Well done team,well done team
4,0,0,1,2,Thank you so much,thank you so much
4,0,0,1,2,This post is helpful,this post is helpful
5,1,1,0,1,😂😂 you look like a monkey,you look like a monkey
2,0,0,1,2,🔥 amazing performance,amazing performance
3,1,1,0,1,You are dumb 🤡,you are dumb
4,0,0,1,2,I like your content ❤️,i like your content
1,1,1,0,1,idiot,idiot
2,1,1,0,1,idiot person,idiot person
3,1,1,0,1,such a idiot,such a idiot
2,1,1,0,1,total idiot,total idiot
3,1,1,0,1,you are idiot,you are idiot
1,1,1,0,1,stupid,stupid
2,1,1,0,1,stupid person,stupid person
3,1,1,0,1,such a stupid,such a stupid
2,1,1,0,1,total stupid,total stupid
3,1,1,0,1,you are stupid,you are stupid
1,1,1,0,1,dumb,dumb
2,1,1,0,1,dumb person,dumb person
3,1,1,0,1,such a dumb,such a dumb
2,1,1,0,1,total dumb,total dumb
3,1,1,0,1,you are dumb,you are dumb
1,1,1,0,1,moron,moron
2,1,1,0,1,moron person,moron person
3,1,1,0,1,such a moron,such a moron
2,1,1,0,1,total moron,total moron
3,1,1,0,1,you are moron,you are moron
1,1,1,0,1,loser,loser
2,1,1,0,1,loser person,loser person
3,1,1,0,1,such a loser,such a loser
2,1,1,0,1,total loser,total loser
3,1,1,0,1,you are loser,you are loser
1,1,1,0,1,jerk,jerk
2,1,1,0,1,jerk person,jerk person
3,1,1,0,1,such a jerk,such a jerk
2,1,1,0,1,total jerk,total jerk
3,1,1,0,1,you are jerk,you are jerk
1,1,1,0,1,creep,creep
2,1,1,0,1,creep person,creep person
3,1,1,0,1,such a creep,such a creep
2,1,1,0,1,total creep,total creep
3,1,1,0,1,you are creep,you are creep
1,1,1,0,1,weirdo,weirdo
2,1,1,0,1,weirdo person,weirdo person
3,1,1,0,1,such a weirdo,such a weirdo
2,1,1,0,1,total weirdo,total weirdo
3,1,1,0,1,you are weirdo,you are weirdo
1,1,1,0,1,pathetic,pathetic
2,1,1,0,1,pathetic person,pathetic person
3,1,1,0,1,such a pathetic,such a pathetic
2,1,1,0,1,total pathetic,total pathetic
3,1,1,0,1,you are pathetic,you are pathetic
1,1,1,0,1,trash,trash
